Member_number,Date,itemDescription,itemAisle
1567,13-03-2015,citrus fruit,Produce
2972,21-05-2015,whole milk,Dairy
1287,28-08-2015,butter,Dairy
4776,08-08-2015,pork,Fresh meat
2271,08-04-2015,other vegetables,Produce
4657,15-08-2015,other vegetables,Produce
2344,14-04-2015,meat,Fresh meat
1482,07-06-2015,whole milk,Dairy
1278,12-09-2015,canned beer,Alcohol
4831,13-11-2015,tropical fruit,Produce
1819,11-11-2015,tropical fruit,Produce
2687,31-07-2015,sweet spreads,Snacks
4468,24-03-2015,brandy,Alcohol
4760,04-02-2015,tropical fruit,Produce
2310,24-03-2015,sausage,Fresh meat
3924,02-07-2015,canned beer,Alcohol
3517,12-11-2015,coffee,Beverages
3164,30-09-2015,pork,Fresh meat
3245,17-05-2015,dish cleaner,Cleaning Items
2629,12-06-2015,canned beer,Alcohol
1347,15-09-2015,rolls/buns,Bakery
1216,25-08-2015,pastry,Bakery
4636,04-10-2015,misc. beverages,Beverages
1197,22-11-2015,misc. beverages,Beverages
4102,23-09-2015,frozen dessert,Frozen Dessert
1013,10-02-2015,meat,Fresh meat
1928,15-08-2015,citrus fruit,Produce
2064,21-08-2015,rolls/buns,Bakery
3416,15-11-2015,canned vegetables,Dry and Canned Foods
1536,01-05-2015,canned beer,Alcohol
1953,03-09-2015,whole milk,Dairy
1327,07-04-2015,chicken,Fresh meat
3415,27-05-2015,whole milk,Dairy
2517,22-03-2015,tropical fruit,Produce
4334,10-12-2015,citrus fruit,Produce
4515,15-06-2015,canned beer,Alcohol
1527,20-04-2015,rolls/buns,Bakery
1726,11-02-2015,pip fruit,Produce
4734,02-10-2015,pork,Fresh meat
2356,15-06-2015,canned beer,Alcohol
2244,29-03-2015,citrus fruit,Produce
4281,04-03-2015,margarine,Dairy
2977,14-04-2015,chicken,Fresh meat
2119,24-09-2015,meat,Fresh meat
3208,24-06-2015,root vegetables,Produce
2663,18-05-2015,ham,Deli
3344,04-01-2015,newspapers,Household Goods
3592,14-12-2015,whipped/sour cream,Dairy
2106,24-11-2015,cream cheese ,Dairy
3356,23-05-2015,citrus fruit,Produce
3227,30-11-2015,pip fruit,Produce
1505,27-07-2015,beef,Fresh meat
1035,24-04-2015,yogurt,Dairy
4312,14-12-2015,sausage,Fresh meat
1253,20-06-2015,processed cheese,Dairy
2260,30-10-2015,domestic eggs,Dairy
3710,22-08-2015,sausage,Fresh meat
1846,29-11-2015,bottled water,Beverages
3520,11-09-2015,newspapers,Household Goods
2816,19-06-2015,canned beer,Alcohol
1051,11-10-2015,tropical fruit,Produce
1754,07-08-2015,curd,Dairy
3593,31-08-2015,pip fruit,Produce
1421,08-07-2015,beverages,Beverages
3104,06-04-2015,soda,Beverages
1283,30-05-2015,newspapers,Household Goods
1130,18-09-2015,frankfurter,Deli
2816,10-01-2015,tropical fruit,Produce
4594,23-06-2015,pork,Fresh meat
4192,16-12-2015,chicken,Fresh meat
3208,20-11-2015,chicken,Fresh meat
1949,04-11-2015,rolls/buns,Bakery
4268,25-04-2015,semi-finished bread,Bakery
2672,17-01-2015,sausage,Fresh meat
2372,09-03-2015,sausage,Fresh meat
4482,08-07-2015,shopping bags,Household Goods
1048,10-06-2015,condensed milk,Baking
4831,19-02-2015,yogurt,Dairy
3441,04-12-2015,frankfurter,Deli
3380,11-11-2015,turkey,Deli
1654,11-09-2015,beef,Fresh meat
2408,21-06-2015,rolls/buns,Bakery
4699,08-01-2015,whole milk,Dairy
2670,29-04-2015,berries,Produce
4292,18-08-2015,citrus fruit,Produce
4303,22-02-2015,meat,Fresh meat
2011,22-03-2015,pip fruit,Produce
3657,29-09-2015,grapes,Produce
1435,14-01-2015,canned beer,Alcohol
4445,20-05-2015,sausage,Fresh meat
4030,15-08-2015,seasonal products,Household Goods
1204,04-11-2015,chicken,Fresh meat
1235,01-01-2015,sausage,Fresh meat
3984,02-03-2015,liver loaf,Deli
3637,25-11-2015,root vegetables,Produce
1931,07-02-2015,sliced cheese,Dairy
4486,23-10-2015,pork,Fresh meat
4529,01-03-2015,tropical fruit,Produce
1827,05-07-2015,spread cheese,Dairy
3054,27-05-2015,spread cheese,Dairy
2524,21-10-2015,sausage,Fresh meat
1855,11-09-2015,hamburger meat,Fresh meat
3242,23-02-2015,frankfurter,Deli
4431,21-08-2015,whole milk,Dairy
4555,23-07-2015,pip fruit,Produce
4299,02-08-2015,whole milk,Dairy
2905,22-10-2015,beef,Fresh meat
3323,12-09-2015,sausage,Fresh meat
2796,17-10-2015,pork,Fresh meat
2129,03-04-2015,sausage,Fresh meat
1501,17-08-2015,napkins,Household Goods
2814,17-07-2015,hamburger meat,Fresh meat
1105,22-05-2015,yogurt,Dairy
3798,09-04-2015,meat,Fresh meat
3025,21-04-2015,sausage,Fresh meat
4592,13-07-2015,pastry,Bakery
4463,11-03-2015,liver loaf,Deli
2916,13-06-2015,other vegetables,Produce
1838,25-03-2015,pork,Fresh meat
1126,17-05-2015,pork,Fresh meat
2800,10-02-2015,beverages,Beverages
4485,25-07-2015,beef,Fresh meat
3262,07-08-2015,pip fruit,Produce
4030,22-12-2015,berries,Produce
3370,02-03-2015,frozen meals,Frozen Foods
3489,09-01-2015,tropical fruit,Produce
2386,01-03-2015,newspapers,Household Goods
3774,16-02-2015,chicken,Fresh meat
3818,13-05-2015,whole milk,Dairy
3434,06-10-2015,butter,Dairy
3438,27-12-2015,pip fruit,Produce
1140,05-01-2015,frankfurter,Deli
1051,10-12-2015,other vegetables,Produce
3071,26-03-2015,beef,Fresh meat
3872,28-03-2015,turkey,Deli
4215,30-06-2015,processed cheese,Dairy
3806,15-03-2015,tropical fruit,Produce
1869,16-05-2015,sausage,Fresh meat
1668,05-05-2015,rolls/buns,Bakery
1163,14-12-2015,beef,Fresh meat
1664,10-01-2014,rolls/buns,Bakery
3942,16-12-2014,hamburger meat,Fresh meat
2638,10-10-2014,turkey,Deli
4735,10-10-2014,specialty chocolate,Dessert
3745,12-09-2014,frankfurter,Deli
1817,15-11-2014,beef,Fresh meat
2864,16-10-2014,berries,Produce
1748,14-08-2014,kitchen utensil,Household Goods
3360,30-08-2014,soda,Beverages
1849,10-06-2014,whole milk,Dairy
3438,06-11-2014,chicken,Fresh meat
4594,28-05-2014,whole milk,Dairy
1632,16-02-2014,brown bread,Bakery
4297,29-08-2014,frankfurter,Deli
4539,14-04-2014,frankfurter,Deli
4762,25-06-2014,pip fruit,Produce
4153,14-02-2014,sausage,Fresh meat
1500,20-06-2014,hygiene articles,Personal Care
1895,22-07-2014,frankfurter,Deli
1466,02-03-2014,citrus fruit,Produce
2233,24-04-2014,tropical fruit,Produce
3057,28-01-2014,chicken,Fresh meat
3308,21-08-2014,bottled water,Beverages
3241,01-08-2014,ham,Deli
1947,27-02-2014,canned beer,Alcohol
2589,10-04-2014,grapes,Produce
3127,25-02-2014,hamburger meat,Fresh meat
2138,13-05-2014,curd,Dairy
2495,31-01-2014,rolls/buns,Bakery
3590,29-03-2014,waffles,Frozen Foods
4037,05-05-2014,beef,Fresh meat
4968,03-04-2014,beef,Fresh meat
1612,10-08-2014,butter,Dairy
4741,12-10-2014,sausage,Fresh meat
2899,01-08-2014,frankfurter,Deli
4206,18-09-2014,chocolate,Dessert
3705,17-08-2014,UHT-milk,Dairy
2832,29-07-2014,sausage,Fresh meat
4054,10-05-2014,cream cheese ,Dairy
1595,17-07-2014,bottled beer,Alcohol
4821,09-02-2014,rolls/buns,Bakery
1336,23-01-2014,rolls/buns,Bakery
2446,19-01-2014,finished products,Bakery
1033,21-04-2014,sausage,Fresh meat
1447,06-05-2014,tropical fruit,Produce
1185,14-08-2014,beef,Fresh meat
1410,01-06-2014,sausage,Fresh meat
4588,28-07-2014,ham,Deli
2732,31-01-2014,grapes,Produce
1473,10-10-2014,whole milk,Dairy
2029,21-10-2014,beef,Fresh meat
2799,31-07-2014,canned fish,Dry and Canned Foods
4579,19-01-2014,whole milk,Dairy
1041,13-06-2014,chicken,Fresh meat
1877,30-09-2014,rolls/buns,Bakery
4191,14-03-2014,liver loaf,Deli
3649,11-07-2014,frankfurter,Deli
2706,24-02-2014,citrus fruit,Produce
3821,26-02-2014,turkey,Deli
3917,14-02-2014,sausage,Fresh meat
4464,27-07-2014,beverages,Beverages
1935,30-06-2014,mayonnaise,Condiments and Spices
1783,22-07-2014,rolls/buns,Bakery
3817,23-08-2014,chicken,Fresh meat
4162,15-04-2014,canned beer,Alcohol
1653,18-07-2014,chicken,Fresh meat
1686,04-12-2014,whole milk,Dairy
2549,09-05-2014,ham,Deli
1380,22-04-2014,rolls/buns,Bakery
3315,27-12-2014,whole milk,Dairy
4931,23-02-2014,soda,Beverages
4849,14-04-2014,shopping bags,Household Goods
2984,07-07-2014,whole milk,Dairy
1262,07-12-2014,organic sausage,Fresh meat
2561,27-11-2014,citrus fruit,Produce
2755,01-02-2014,beef,Fresh meat
1747,01-07-2014,frankfurter,Deli
1913,31-08-2014,pork,Fresh meat
3090,10-03-2014,yogurt,Dairy
4369,27-10-2014,butter,Dairy
4872,20-10-2014,yogurt,Dairy
3918,05-04-2014,salty snack,Snacks
1758,21-09-2014,rolls/buns,Bakery
2328,22-01-2014,bottled beer,Alcohol
3570,06-05-2014,beef,Fresh meat
4753,10-11-2014,meat,Fresh meat
1815,12-04-2014,semi-finished bread,Bakery
4372,09-11-2014,whole milk,Dairy
1287,07-08-2014,chicken,Fresh meat
4938,01-05-2014,meat,Fresh meat
4164,09-08-2014,pastry,Bakery
4410,24-05-2014,rolls/buns,Bakery
2609,06-04-2014,beverages,Beverages
2293,31-03-2014,other vegetables,Produce
4049,07-06-2014,frankfurter,Deli
2240,10-02-2014,pastry,Bakery
3197,03-01-2014,sausage,Fresh meat
1223,09-05-2014,citrus fruit,Produce
2186,04-12-2014,tropical fruit,Produce
4137,15-12-2014,salty snack,Snacks
3284,25-03-2014,whole milk,Dairy
3190,13-04-2014,pastry,Bakery
3059,15-06-2014,salty snack,Snacks
2441,28-08-2014,canned beer,Alcohol
3645,22-08-2014,chicken,Fresh meat
2246,21-01-2014,bottled beer,Alcohol
4431,06-12-2014,whole milk,Dairy
3047,16-08-2014,pip fruit,Produce
1866,29-08-2014,chocolate,Dessert
3138,13-10-2014,citrus fruit,Produce
2078,14-05-2014,soda,Beverages
3142,05-06-2014,soda,Beverages
4262,06-03-2014,frozen meals,Frozen Foods
4872,13-02-2014,newspapers,Household Goods
1985,18-05-2014,sausage,Fresh meat
2458,20-11-2014,frozen meals,Frozen Foods
2540,29-01-2014,finished products,Bakery
3194,26-07-2014,tropical fruit,Produce
3071,18-04-2014,whole milk,Dairy
4181,09-07-2014,ice cream,Frozen Dessert
2033,29-11-2014,processed cheese,Dairy
3306,12-11-2014,soda,Beverages
1658,08-09-2014,newspapers,Household Goods
3884,10-12-2014,beef,Fresh meat
1215,30-07-2014,grapes,Produce
2477,30-09-2014,pip fruit,Produce
3971,02-04-2014,chocolate marshmallow,Dessert
3644,20-02-2014,bottled beer,Alcohol
1550,05-05-2014,pork,Fresh meat
1625,09-02-2014,meat,Fresh meat
2472,02-01-2014,other vegetables,Produce
2337,04-03-2014,tropical fruit,Produce
4690,03-02-2014,chicken,Fresh meat
1748,26-08-2014,bottled beer,Alcohol
4296,15-12-2014,sausage,Fresh meat
3529,26-08-2014,yogurt,Dairy
3804,28-04-2014,frankfurter,Deli
4107,10-05-2014,frankfurter,Deli
3727,28-07-2014,citrus fruit,Produce
1492,20-12-2014,frankfurter,Deli
4952,09-04-2014,whipped/sour cream,Dairy
4641,05-11-2014,bottled water,Beverages
4716,18-05-2014,grapes,Produce
3857,11-07-2014,frankfurter,Deli
4599,21-03-2014,frankfurter,Deli
2906,25-06-2014,frankfurter,Deli
3552,27-01-2014,candy,Dessert
4572,30-10-2014,other vegetables,Produce
4345,19-03-2014,beef,Fresh meat
1908,20-09-2014,bottled beer,Alcohol
4744,31-01-2014,frankfurter,Deli
2064,18-03-2014,pork,Fresh meat
1726,04-05-2014,root vegetables,Produce
2383,25-05-2014,beef,Fresh meat
4245,15-07-2014,misc. beverages,Beverages
1013,20-02-2014,whole milk,Dairy
2676,01-10-2014,other vegetables,Produce
4155,09-03-2014,beef,Fresh meat
1365,23-08-2014,sausage,Fresh meat
4917,30-05-2014,frankfurter,Deli
4686,27-06-2014,whole milk,Dairy
4842,23-05-2014,sausage,Fresh meat
3673,08-11-2014,other vegetables,Produce
4214,10-03-2014,sausage,Fresh meat
3952,27-07-2014,other vegetables,Produce
3972,04-03-2014,frankfurter,Deli
3790,31-07-2014,frankfurter,Deli
3042,04-04-2014,curd,Dairy
2567,22-07-2014,grapes,Produce
3830,28-07-2014,canned beer,Alcohol
2515,27-01-2014,hamburger meat,Fresh meat
2545,14-01-2014,citrus fruit,Produce
1006,04-09-2014,whole milk,Dairy
2590,09-03-2014,frozen dessert,Frozen Dessert
1757,30-03-2014,yogurt,Dairy
2352,27-03-2014,tropical fruit,Produce
1136,28-09-2014,tropical fruit,Produce
3123,07-08-2014,fruit/vegetable juice,Produce
3224,08-06-2014,hamburger meat,Fresh meat
4642,17-12-2014,newspapers,Household Goods
2380,04-05-2014,specialty chocolate,Dessert
4029,27-10-2014,soda,Beverages
1103,07-12-2014,ice cream,Frozen Dessert
4655,14-11-2014,beef,Fresh meat
1773,28-10-2014,sausage,Fresh meat
4645,11-10-2014,yogurt,Dairy
1468,10-02-2014,whole milk,Dairy
4383,12-02-2014,ice cream,Frozen Dessert
3279,03-07-2014,frankfurter,Deli
3025,19-01-2014,hamburger meat,Fresh meat
2969,13-04-2014,frankfurter,Deli
1767,06-02-2014,frankfurter,Deli
2830,21-09-2014,sausage,Fresh meat
3556,04-02-2014,pork,Fresh meat
1104,05-09-2014,yogurt,Dairy
1740,21-11-2014,ham,Deli
1844,18-09-2014,other vegetables,Produce
2544,06-09-2014,sausage,Fresh meat
3655,05-10-2014,beef,Fresh meat
4947,28-01-2014,dishes,Household Goods
4002,24-08-2014,pork,Fresh meat
4951,15-08-2014,beef,Fresh meat
3309,06-06-2014,whole milk,Dairy
2289,07-03-2014,chicken,Fresh meat
2120,07-06-2014,yogurt,Dairy
4679,13-06-2014,salty snack,Snacks
3220,15-03-2014,pip fruit,Produce
2146,30-05-2014,sausage,Fresh meat
1851,02-12-2014,curd,Dairy
1889,08-03-2014,beef,Fresh meat
2789,11-02-2014,salty snack,Snacks
2611,29-12-2014,frankfurter,Deli
1309,23-12-2014,dessert,Dessert
2259,16-06-2014,frankfurter,Deli
2540,16-12-2014,whole milk,Dairy
3539,13-01-2014,photo/film,Household Goods
4149,05-12-2014,pip fruit,Produce
3847,06-08-2014,sausage,Fresh meat
4285,13-04-2014,root vegetables,Produce
1445,13-04-2014,frankfurter,Deli
2701,05-03-2014,ham,Deli
1602,29-05-2014,pip fruit,Produce
1590,06-01-2014,citrus fruit,Produce
3704,08-02-2014,soda,Beverages
4035,14-07-2014,sugar,Baking
4861,23-03-2014,hamburger meat,Fresh meat
3757,07-08-2014,whole milk,Dairy
4743,07-07-2014,nuts/prunes,Snacks
4527,16-03-2014,frankfurter,Deli
2756,14-05-2014,red/blush wine,Alcohol
1432,18-02-2014,berries,Produce
3089,20-08-2014,sausage,Fresh meat
4614,25-12-2014,salty snack,Snacks
4255,01-02-2014,frankfurter,Deli
3426,05-02-2014,pork,Fresh meat
3343,08-03-2014,misc. beverages,Beverages
3550,18-12-2014,ice cream,Frozen Dessert
4785,14-08-2014,chocolate,Dessert
3137,09-11-2014,whole milk,Dairy
4645,13-12-2014,other vegetables,Produce
1369,05-05-2014,spread cheese,Dairy
3684,02-06-2014,whole milk,Dairy
4423,25-02-2014,pip fruit,Produce
3561,26-05-2014,frankfurter,Deli
2625,14-12-2014,pork,Fresh meat
1218,05-08-2014,citrus fruit,Produce
2120,07-07-2014,bottled beer,Alcohol
2332,14-05-2014,citrus fruit,Produce
2269,01-05-2014,hamburger meat,Fresh meat
2607,20-11-2014,whipped/sour cream,Dairy
4866,16-09-2014,sausage,Fresh meat
2723,27-10-2014,citrus fruit,Produce
3660,19-05-2014,rolls/buns,Bakery
2407,01-08-2014,sliced cheese,Dairy
3670,08-04-2014,butter milk,Dairy
3743,07-03-2014,sausage,Fresh meat
3598,13-03-2014,other vegetables,Produce
3882,18-07-2014,beef,Fresh meat
1175,01-02-2014,hamburger meat,Fresh meat
2913,14-12-2014,chicken,Fresh meat
1087,26-02-2014,sausage,Fresh meat
2075,05-06-2014,sausage,Fresh meat
3034,26-12-2014,bottled water,Beverages
4820,28-10-2014,pastry,Bakery
1651,20-08-2014,cat food,Pets
3625,17-10-2014,other vegetables,Produce
3487,25-03-2014,whole milk,Dairy
1729,20-03-2014,other vegetables,Produce
2803,07-03-2014,tropical fruit,Produce
3692,19-10-2014,citrus fruit,Produce
1649,29-07-2014,pork,Fresh meat
4015,17-02-2014,canned beer,Alcohol
4427,03-12-2014,frankfurter,Deli
4021,31-10-2014,yogurt,Dairy
1737,28-08-2014,sausage,Fresh meat
2320,02-05-2014,cream cheese ,Dairy
4725,31-08-2014,other vegetables,Produce
1697,22-01-2014,sausage,Fresh meat
2341,17-04-2014,frankfurter,Deli
1180,24-08-2014,citrus fruit,Produce
3226,26-02-2014,ham,Deli
4288,24-09-2014,soda,Beverages
2181,29-04-2014,frankfurter,Deli
2517,05-12-2014,citrus fruit,Produce
2909,18-01-2014,frozen fish,Frozen Foods
4312,04-02-2014,whole milk,Dairy
4965,23-12-2014,ham,Deli
1224,20-09-2014,sausage,Fresh meat
3135,21-06-2014,shopping bags,Household Goods
1914,28-11-2014,cereals,Dry and Canned Foods
3589,09-07-2014,frozen fish,Frozen Foods
4274,31-03-2014,whole milk,Dairy
3395,17-03-2014,soda,Beverages
4086,15-11-2014,pastry,Bakery
1033,03-02-2014,frankfurter,Deli
2398,23-07-2014,yogurt,Dairy
3782,16-09-2014,domestic eggs,Dairy
3109,09-11-2014,sausage,Fresh meat
2028,22-08-2014,ham,Deli
4963,03-03-2014,other vegetables,Produce
1043,14-03-2014,tropical fruit,Produce
4303,24-10-2014,whole milk,Dairy
3282,28-08-2014,sausage,Fresh meat
3220,13-12-2014,soda,Beverages
3297,30-03-2014,tropical fruit,Produce
2153,14-12-2014,domestic eggs,Dairy
1065,25-12-2014,red/blush wine,Alcohol
1126,11-02-2014,rolls/buns,Bakery
1399,02-06-2014,other vegetables,Produce
2602,01-03-2014,frankfurter,Deli
2478,09-02-2014,citrus fruit,Produce
2645,08-07-2014,dessert,Dessert
3109,14-10-2014,tropical fruit,Produce
3268,31-01-2014,hamburger meat,Fresh meat
2556,03-06-2014,soda,Beverages
3139,11-06-2014,chicken,Fresh meat
2971,07-12-2014,rolls/buns,Bakery
4391,06-04-2014,butter,Dairy
3322,08-01-2014,pip fruit,Produce
1740,07-08-2014,specialty bar,Snacks
3367,27-02-2014,sausage,Fresh meat
3616,06-11-2014,grapes,Produce
3736,16-02-2014,semi-finished bread,Bakery
1795,20-05-2014,domestic eggs,Dairy
2702,09-08-2014,pastry,Bakery
4397,28-08-2014,root vegetables,Produce
2649,18-02-2014,whole milk,Dairy
4752,03-04-2014,meat,Fresh meat
2028,26-10-2014,canned beer,Alcohol
1128,05-10-2014,frankfurter,Deli
1199,23-03-2014,grapes,Produce
4986,02-08-2014,candles,Household Goods
3102,05-09-2014,other vegetables,Produce
2079,11-04-2014,tropical fruit,Produce
1931,13-03-2014,chicken,Fresh meat
1176,09-04-2014,soda,Beverages
3562,09-11-2014,ham,Deli
1962,14-06-2014,pork,Fresh meat
1782,04-10-2014,frozen vegetables,Frozen Foods
3493,12-01-2014,beef,Fresh meat
4268,14-10-2014,pork,Fresh meat
3730,17-04-2014,dessert,Dessert
1144,11-07-2014,pork,Fresh meat
4637,12-06-2014,chicken,Fresh meat
1855,26-09-2014,hamburger meat,Fresh meat
3022,16-02-2014,chicken,Fresh meat
3960,23-01-2014,baking powder,Baking
2786,30-08-2014,other vegetables,Produce
2550,06-11-2014,curd,Dairy
1141,04-08-2014,tropical fruit,Produce
3226,25-10-2014,rolls/buns,Bakery
3846,25-08-2014,meat,Fresh meat
1282,06-06-2014,soda,Beverages
3213,19-12-2014,photo/film,Household Goods
3910,17-02-2014,pet care,Pets
2533,21-09-2014,other vegetables,Produce
3713,17-12-2014,citrus fruit,Produce
2131,18-02-2014,citrus fruit,Produce
2878,13-06-2014,rolls/buns,Bakery
2355,26-01-2014,canned beer,Alcohol
3847,31-07-2014,canned beer,Alcohol
3619,16-12-2014,sugar,Baking
4980,25-08-2014,meat,Fresh meat
1185,27-09-2014,frankfurter,Deli
4049,23-12-2014,dishes,Household Goods
2681,09-04-2014,pork,Fresh meat
1742,20-10-2014,frankfurter,Deli
4594,07-01-2014,other vegetables,Produce
3869,24-05-2014,newspapers,Household Goods
1191,03-10-2014,berries,Produce
2466,28-01-2014,beef,Fresh meat
4857,03-03-2014,whole milk,Dairy
3087,21-02-2014,citrus fruit,Produce
4730,26-11-2014,other vegetables,Produce
2120,27-02-2014,root vegetables,Produce
2452,18-02-2014,frankfurter,Deli
3499,04-04-2014,other vegetables,Produce
1731,28-12-2014,sausage,Fresh meat
1751,27-02-2014,yogurt,Dairy
1991,14-07-2014,sausage,Fresh meat
4300,28-01-2014,hamburger meat,Fresh meat
2009,06-03-2014,pork,Fresh meat
1585,17-09-2014,tropical fruit,Produce
1604,02-03-2014,rolls/buns,Bakery
3804,27-12-2014,tropical fruit,Produce
4955,22-03-2014,sausage,Fresh meat
4826,14-04-2014,hamburger meat,Fresh meat
2294,07-04-2014,pip fruit,Produce
2857,28-08-2014,beef,Fresh meat
4911,20-07-2014,other vegetables,Produce
4924,31-01-2014,sausage,Fresh meat
1392,09-12-2014,other vegetables,Produce
3917,04-03-2014,ham,Deli
3032,28-12-2014,frankfurter,Deli
1808,29-11-2014,meat,Fresh meat
4082,07-01-2014,ham,Deli
1673,04-08-2014,citrus fruit,Produce
3246,21-05-2014,rolls/buns,Bakery
1415,01-05-2014,sausage,Fresh meat
2555,27-12-2014,root vegetables,Produce
4426,12-01-2014,berries,Produce
4406,20-01-2014,pork,Fresh meat
3514,13-12-2014,meat,Fresh meat
4197,29-09-2014,pastry,Bakery
3206,24-08-2014,long life bakery product,Bakery
3767,30-01-2014,meat,Fresh meat
3761,03-01-2014,meat,Fresh meat
3013,08-07-2014,sauces,Condiments and Spices
2454,11-09-2014,pip fruit,Produce
4042,25-01-2014,root vegetables,Produce
3936,08-06-2014,ham,Deli
2943,30-06-2014,hamburger meat,Fresh meat
3163,11-09-2014,yogurt,Dairy
1435,12-07-2014,beef,Fresh meat
4174,15-07-2014,citrus fruit,Produce
1929,11-10-2014,berries,Produce
4462,21-09-2014,frankfurter,Deli
3840,11-06-2014,citrus fruit,Produce
2946,01-09-2014,onions,Produce
4434,31-08-2014,beef,Fresh meat
2826,09-04-2014,frankfurter,Deli
1376,29-11-2014,pip fruit,Produce
1896,25-07-2014,brown bread,Bakery
4952,10-02-2014,meat,Fresh meat
4117,24-04-2014,citrus fruit,Produce
1385,27-02-2014,beef,Fresh meat
4448,21-02-2014,other vegetables,Produce
4622,06-12-2014,chicken,Fresh meat
4018,27-09-2014,sausage,Fresh meat
3757,18-12-2014,tropical fruit,Produce
1816,01-09-2014,soda,Beverages
3189,02-08-2014,citrus fruit,Produce
4581,08-05-2014,coffee,Beverages
3416,13-07-2014,chicken,Fresh meat
2910,03-01-2014,sugar,Baking
2720,26-06-2014,turkey,Deli
2351,01-01-2014,cleaner,Cleaning Items
3348,18-11-2014,herbs,Produce
2703,29-09-2014,citrus fruit,Produce
2612,06-04-2014,citrus fruit,Produce
3299,09-06-2014,beef,Fresh meat
3722,20-02-2014,sausage,Fresh meat
2289,17-08-2014,soda,Beverages
4656,07-05-2014,liquor,Alcohol
3485,21-05-2014,pork,Fresh meat
4114,08-07-2014,chicken,Fresh meat
1586,05-02-2014,pip fruit,Produce
2815,30-10-2014,beef,Fresh meat
4239,12-08-2014,frankfurter,Deli
1494,13-02-2014,bottled water,Beverages
1747,17-12-2014,canned beer,Alcohol
2218,25-09-2014,pip fruit,Produce
4959,20-10-2014,pip fruit,Produce
2453,05-07-2014,sausage,Fresh meat
4502,27-07-2014,hamburger meat,Fresh meat
1504,01-12-2014,sausage,Fresh meat
4494,24-04-2014,beef,Fresh meat
3610,18-03-2014,other vegetables,Produce
3617,16-04-2014,pastry,Bakery
1279,25-08-2014,chicken,Fresh meat
2387,03-11-2014,herbs,Produce
2912,24-08-2014,beef,Fresh meat
3008,07-09-2014,butter,Dairy
2739,07-11-2014,root vegetables,Produce
2038,28-10-2014,beef,Fresh meat
3090,22-11-2014,whipped/sour cream,Dairy
3142,05-05-2014,butter,Dairy
2962,06-07-2014,root vegetables,Produce
4067,29-04-2014,tropical fruit,Produce
1307,15-12-2014,hamburger meat,Fresh meat
4917,21-04-2014,pork,Fresh meat
2157,26-06-2014,beef,Fresh meat
3876,25-08-2014,grapes,Produce
1917,25-02-2014,frankfurter,Deli
4750,04-11-2014,pork,Fresh meat
1820,24-02-2014,meat,Fresh meat
2226,01-01-2014,sausage,Fresh meat
2801,23-01-2014,root vegetables,Produce
3569,11-06-2014,sausage,Fresh meat
2950,18-11-2014,canned beer,Alcohol
1382,05-08-2014,citrus fruit,Produce
1856,23-10-2014,frankfurter,Deli
3059,03-05-2014,sausage,Fresh meat
1686,05-05-2014,pork,Fresh meat
2065,03-01-2014,sausage,Fresh meat
1566,24-01-2014,citrus fruit,Produce
1197,05-03-2014,whole milk,Dairy
4557,01-11-2014,tropical fruit,Produce
2495,24-02-2014,other vegetables,Produce
3739,20-10-2014,rolls/buns,Bakery
1621,18-06-2014,other vegetables,Produce
2435,02-02-2014,sausage,Fresh meat
4948,23-05-2014,root vegetables,Produce
4531,10-11-2014,pastry,Bakery
4384,22-10-2014,bottled water,Beverages
3441,20-04-2014,other vegetables,Produce
2880,12-04-2014,tropical fruit,Produce
4268,22-02-2014,frankfurter,Deli
4901,04-12-2014,pastry,Bakery
2606,22-08-2014,citrus fruit,Produce
4687,04-08-2014,meat,Fresh meat
4121,19-04-2014,ice cream,Frozen Dessert
1160,02-06-2014,whole milk,Dairy
3122,25-12-2014,soda,Beverages
1847,01-10-2014,canned beer,Alcohol
3402,24-12-2014,roll products ,Household Goods
3349,07-09-2014,tropical fruit,Produce
3967,20-02-2014,other vegetables,Produce
2808,23-01-2014,other vegetables,Produce
1730,19-08-2014,sugar,Baking
2664,10-08-2014,chicken,Fresh meat
2584,18-05-2014,chicken,Fresh meat
2028,29-10-2014,meat,Fresh meat
3636,19-11-2014,rolls/buns,Bakery
3769,28-01-2014,root vegetables,Produce
2338,03-11-2014,newspapers,Household Goods
3593,04-12-2014,ham,Deli
4432,12-04-2014,sausage,Fresh meat
3721,20-02-2014,specialty cheese,Dairy
4133,22-08-2014,seasonal products,Household Goods
2541,05-07-2014,newspapers,Household Goods
1897,09-12-2014,sausage,Fresh meat
3350,23-05-2014,rolls/buns,Bakery
3311,18-07-2014,whole milk,Dairy
4864,16-06-2014,sausage,Fresh meat
3732,18-01-2014,ice cream,Frozen Dessert
4494,26-05-2014,chicken,Fresh meat
2160,30-07-2014,shopping bags,Household Goods
3812,30-04-2014,bottled water,Beverages
3872,28-07-2014,root vegetables,Produce
4257,14-06-2014,sausage,Fresh meat
3891,13-09-2014,chicken,Fresh meat
1465,23-01-2014,ham,Deli
1440,01-06-2014,tropical fruit,Produce
4974,18-07-2014,rolls/buns,Bakery
1282,24-10-2014,other vegetables,Produce
1824,08-08-2014,sausage,Fresh meat
4195,09-09-2014,berries,Produce
4389,31-10-2014,frankfurter,Deli
2855,17-01-2014,yogurt,Dairy
4803,30-12-2014,bottled water,Beverages
2633,16-05-2014,bottled water,Beverages
